127.0.0.1 - - [10/May/2019:08:46:13 -0500] "GET / HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [10/May/2019:08:46:15 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [10/May/2019:08:47:12 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [10/May/2019:08:50:03 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [10/May/2019:08:50:04 -0500] "GET /favicon.ico HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [10/May/2019:08:52:45 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [10/May/2019:08:55:31 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:33 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:35 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:35 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:36 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:36 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:36 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:36 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:36 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:37 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:37 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:37 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:37 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/May/2019:08:58:53 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [10/May/2019:16:04:57 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [10/May/2019:16:04:58 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [10/May/2019:16:04:59 -0500] "GET /HelloWorldUno/index.jsp HTTP/1.1" 200 454
